index,Roast Level,Avg Agtron,price,rating,Country Region,Country,review_sentence,company,coffee
1800a,Medium,53,12.25,92,The Americas,Guatemala," Dark chocolate, gently scorched cedar, gardenia, grapefruit zest, roasted almond in aroma and cup",Grounds for Change,Guatemala Huehuetenango
1801a,Medium,57,19.05,92,The Americas,Guatemala," Dark chocolate, apricot, fresh-cut cedar, narcissus-like flowers, hazelnut in aroma and cup",Crown & Fancy,Guatemala Huehuetenango Miralvalle Washed
1802a,Medium,53,14,90,The Americas,Guatemala," Ripe banana, black peppercorn, singed clove, pipe tobacco, gardenia-like flowers in aroma and cup",Espresso Republic,Static San Augustin Guatemala
1803a,Medium,52,14.95,93,The Americas,Guatemala," Tangerine, sandalwood, lily and savory chocolate in aroma and cup",Paradise Roasters,S.O. Espresso Guatemala Concepcion Buena Vista
1804a,Medium,56,10.52,92,The Americas,Guatemala," Vanilla, spicy-rich cedar, lily-like flowers, brisk cranberry in aroma and small cup",Wei Chuan Foods Corporation,Bernachon B123 Espresso
1805a,Medium,56,11.35,91,The Americas,Guatemala," Oak, molasses, dark chocolate, orange zest, pecan in aroma and cup",Grounds for Change,Guatemala Huehuetenango
1806a,Medium,59,12.95,90,The Americas,Guatemala," Baker’s chocolate, lily-like flowers, almond, stone fruit, a hint of orange zest in aroma and cup",Paradise Roasters,FTO Guatemala Huehuetenango
1807a,Medium,60,20,90,The Americas,Guatemala," Sweet cocoa, raisin, oak, cumin, lily-like flowers in aroma and cup",Bird Rock Coffee Roasters,Guatemala Finca La Bolsa
1808a,Medium,54,9.51,90,The Americas,Guatemala," Fresh-cut fir, pecan, plum, hints of chocolate and flowers in aroma and cup",Fresh Cup Roastery Cafe,Guatemala Medium Roast
1809a,Medium,52,15,91,The Americas,Guatemala," Dark chocolate, grape, fresh-cut oak, a hint of flowers in aroma and cup",Cafe Virtuoso,Guatemala Guaya’B Huehuetenango
1810a,Medium,59,13.5,91,The Americas,Guatemala," Honey, night-blooming flowers, black cherry, crisp roasted cacao nib in aroma and cup",Klatch Coffee,Guatemala Huehuetenango
1811a,Medium,57,15,90,The Americas,Guatemala," Apricot, cedar, nut, roasted cacao nib in aroma and cup",Cafe Virtuoso,Guatemala Organic Fair Trade
1812a,Medium,59,12.78,91,The Americas,Guatemala," Nut-toned chocolate, cinnamon, plum, a savory hint of thyme in aroma and cup",Z&Z Fine Coffees,El Durazno “The Peach” Antigua
1813a,Medium,60,14,91,The Americas,Guatemala," A particularly fragrant cedar, orange zest, grape, honey and a hint of carob-like chocolate in aroma and cup",Conduit Coffee,Guatemala Las Ilusiones
1814a,Medium,57,92.3,93,The Americas,Guatemala," Cedar, orange, blackberry, a hint of roasted cacao nib in aroma and cup",CafeTaster,Guatemala Injerto EI-04 Noble Age
1815a,Medium,58,30,95,The Americas,Guatemala," Balanced, gently bright acidity; silky, buoyant mouthfeel",Revel Coffee,Guatemala Acatenango Gesha
1816a,Medium,57,15.75,91,The Americas,Guatemala," Orange, apricot, dark chocolate, hints of fir and night-blooming flowers",Coffea Roasterie,Coffea Espresso Guatemala Los Olivos
1817a,Medium,53,31.79,92,The Americas,Guatemala," In the small cup aromatic wood, apricot-like fruit, dark chocolate, night-blooming flowers and a hint of lemony citrus in aroma and flavor",Simon Hsieh's Aroma Roast Coffees,Forbidden Cave of Maya Guatemalan Blend
1818a,Medium,59,19.49,93,The Americas,Guatemala," Honey, dark chocolate, bourbon whisky, hints of flowers in aroma and cup",Green Mountain Coffee,Aroma de Canalaj Guatemala
1819a,Medium,54,9.71,89,The Americas,Guatemala," Dark chocolate, brown sugar, hints of plum and fresh-cut cedar in aroma and cup",Grounds for Change,Guatemala Quetzel
1820a,Medium,60,14.1,92,The Americas,Guatemala, A touch of citrus,PT's Coffee Roasting Co.,Guatemala Finca El Valle
1821a,Medium,52,13.99,89,The Americas,Guatemala," An oak-like aromatic wood note dominates in aroma and cup, with backgrounded caramel and milk chocolate sweetness and a hint of lily-like flowers",Bicycle Coffee,Medium Coffee
1822a,Medium,58,31.66,93,The Americas,Guatemala," Full yet buoyant, lively mouthfeel",Simon Hsieh's Aroma Roast Coffees,Guatemala Antigua Phoenix Special Bourbon
1823a,Medium,59,26.24,95,The Americas,Guatemala," Delicate but rich acidity; very smooth, silky mouthfeel",Willoughby's Coffee & Tea,Guatemala El Injerto Pacamara
1824a,Medium,60,14.5,93,The Americas,Guatemala," Honey, violet-like flowers, sweetly tart berry in aroma and in cup, where a hint of cocoa complicates",Temple Coffee and Tea,Guatemala Hanupu
1825a,Medium,58,37.5,96,The Americas,Guatemala," Pungently rich aroma: black currant, grapefruit, cedar, roses",Cafe de Impression,Guatemala Pandora Pacamara Medium-Light Roast
1826a,Medium,54,12.95,91,The Americas,Guatemala, Creamy mouthfeel,JBC Coffee Roasters,Guatemala Quiche Chajulense FTO Espresso
1827a,Medium,51,12.95,90,The Americas,Guatemala, Buttery mouthfeel,JBC Coffee Roasters,Guatemala Alotenango La Candelaria Espresso
1828a,Medium,58,14,90,The Americas,Guatemala," Bright but balanced acidity; lively, lightly syrupy mouthfeel",Kuma Coffee,Guatemala El Injerto
1829a,Medium,53,11.24,92,The Americas,Guatemala," Baker’s chocolate, ripe citrus, pungently tart berry in aroma and cup",The WestBean Coffee Roasters,Guatemala Guaya’b
1830a,Medium,57,16.33,92,The Americas,Guatemala," Medium body, lightly syrupy mouthfeel",Coava Coffee Roasters,Guatemala Xeucalvitz Espresso
1831a,Medium,52,8.55,88,The Americas,Guatemala," Balanced, rather muted acidity, lean but silky mouthfeel",Equal Exchange,Organic Guatemalan Medium
1832a,Medium,58,14.95,91,The Americas,Guatemala," Gentle, complexly expressed acidity; light body, silky mouthfeel",Coffea Roasterie,Guatemala El Injerto
1833a,Medium,56,16.95,95,The Americas,Guatemala," Round, vibrant acidity; syrupy mouthfeel",Terroir Coffee,Guatemala La Conception
1834a,Medium,61,15.95,93,The Americas,Guatemala," Buttery dark chocolate, flowers, crisp hints of nut and orange",Terroir Coffee,Guatemala Pulcal
1835a,Medium,51,9.74,92,The Americas,Guatemala," Cherry, orange, and a pungent hint of fir in aroma and cup",Caribou Coffee,Guatemala El Paraiso
1836a,Medium,58,9.49,91,The Americas,Guatemala," Gently bright acidity, silky mouthfeel",Kaldi's Coffee Roasting,Guatemala San Pedro La Laguna
1837a,Medium,60,10.5,91,The Americas,Guatemala," Rich acidity, syrupy body",Barefoot Coffee Roasters,Guatemala El Socorro y Anexos Palo Blanco
1838a,Medium,56,11.75,92,The Americas,Guatemala," In the cup balanced acidity, round, syrupy mouthfeel",Counter Culture Coffee,Guatemala Finca Nueva Armenia
1839a,Medium,60,30.95,92,The Americas,Guatemala," As the cup cools, orangy fruit and floral notes become more pronounced",Café P11,Guatemala Cafe
1840a,Medium,52,12.71,92,The Americas,Guatemala," The fruit turns more pronounced and multifaceted in the cup, displaying sweet hints of berry, black currant and orange with a continued cocoaish undertone",Cafe Valverde Coffee Roasters,Guatemala Puerta Verde COE 2009 #7
1841a,Medium,54,12,93,The Americas,Guatemala," The acidity is particularly complex and pleasing: fluent, buoyant, delicately bright but rich",Conscious Coffee,Organic Guatemala
1842a,Medium,58,12.5,93,The Americas,Guatemala," The acidity is delicate yet penetrating, the mouthfeel light, smooth and silky",Klatch Coffee,Guatemala Genuine Antigua Covadonga
1843a,Medium,53,9.8,93,The Americas,Guatemala," In the cup the tone lifts and a crisper, more wine-like fruit dominates: citrus, tart berry, carrying directly into a long, resonant finish",Mr. Espresso,Guatemala La Pila Palencia
1844a,Medium,53,15,97,The Americas,Guatemala," Tartly sweet notes of berry and lemon, white floral notes and a hint of milk chocolate in both aroma and cup",Temple Coffee and Tea,Guatemala Hunapu Antigua Bourbon
1845a,Medium,58,17,92,The Americas,Guatemala," Richly balanced acidity, syrupy mouthfeel and layers of complex flavors combining the fragrant wood characteristics with hints of grapefruit",PT's Coffee Roasting Co.,Guatemala Finca El Socorro Maracaturra
1846a,Medium,56,12.25,93,The Americas,Guatemala," Lemon and flowers in the aroma, with deepening notes of aromatic wood and chocolate in the small cup",Coava Coffee Roasters,Guatemala Xeucalvitz Espresso
1847a,Medium,54,15.95,92,The Americas,Guatemala," Cherry and citrus mix with chocolate, nut and cedar in aroma and cup, along with a distant hint of lavender",Terroir Coffee,Guatemala El Vergel
1848a,Medium,52,13.75,90,The Americas,Guatemala, All simplifies slightly in the finish,Bird Rock Coffee Roasters,Guatemala Finca Santa Ana
1849a,Medium,61,15,92,The Americas,Guatemala," In the cup penetrating orange-toned acidity, lightly syrupy mouthfeel and complex layers of flavors: flowers, orange, lemon, nut and fir-like aromatic wood",Cafe Grumpy,Guatemala Finca Puerta Verde
1850a,Medium,60,13.29,90,The Americas,Guatemala," Brisk acidity, light body, silky mouthfeel",Social Coffee & Tea Company,Guatemala Pacamara
1851a,Medium,56,11.24,89,The Americas,Guatemala," Soft notes of aromatic wood, caramel and fruit in aroma and flavor",Fratello Coffee Roasters,Guatemalan Montecristo
1852a,Medium-Dark,49,5,86,The Americas,Guatemala," Dark chocolate, scorched mesquite, lily, raisin, hazelnut in aroma and cup",El Gran Café,5a Poniente
1853a,Medium-Dark,48,13.99,90,The Americas,Guatemala," Cocoa powder, dried date, gently scorched oak, lily, cashew in aroma and cup",Cafe Femenino,Guatemala Dark Roast FTO
1854a,Medium-Dark,47,3.37,87,The Americas,Guatemala," Hazelnut, baking chocolate, gently scorched cedar, gardenia, prune in aroma and cup",Hill's Bros. Coffee,100% Guatemalan
1855a,Medium-Dark,50,10.02,93,The Americas,Guatemala," Grapefruit, cedar, baker’s chocolate, candied pecan, orange blossom in aroma and small cup",Creation Food Co.,Guatemala HHT Primavera
1856a,Medium-Dark,49,10,87,The Americas,Guatemala," Muted, herby acidity; full, syrupy mouthfeel",Regular Coffee,Regular Coffee Decaf
1857a,Medium-Dark,51,13,92,The Americas,Guatemala, Vivacious in three parts milk: orange zest and caramel,Revel Coffee,Guatemala Santa Sofia Lot 3
1858a,Medium-Dark,44,13.95,92,The Americas,Guatemala," Creamy, rich mouthfeel",Espresso Havana,Espresso Havana
1859a,Medium-Dark,50,12.74,92,The Americas,Guatemala," The stone fruit develops a bright, citrusy edge in the cup",The WestBean Coffee Roasters,Guatemala Santa Isabel Natural Process SO Espresso
1860a,Medium-Dark,48,17.01,90,The Americas,Guatemala," Mouthfeel is smooth if slightly lean; cleanly rich, straightforward finish",Coava Coffee Roasters,Decaf Guatemala Espresso
1861a,Medium-Dark,49,9.94,88,The Americas,Guatemala," Soft acidity, medium body, mouthfeel that may strike some coffee drinkers as hearty and others as slightly rough",Coffee By Design,Guatemala Antigua La Flor del Cafe
1862a,Medium-Dark,48,13,90,The Americas,Guatemala," Round, muted acidity, smooth mouthfeel, resonant finish",Thanksgiving Coffee,Guatemala Guaya’b
1863a,Medium-Dark,51,14,91,The Americas,Guatemala," Richly roast-rounded acidity, syrupy body, very slight heaviness in the finish",Barismo,Guatemala El Bosque
1864a,Medium-Dark,48,10.5,93,The Americas,Guatemala," All carry into a deceptively complex cup, softly layered rather than intense",Matt's Wood-Roasted Organic Coffee,Guatemala Guaya’b
1865a,Medium-Dark,50,17.95,91,The Americas,Guatemala," In the cup, full, syrupy mouthfeel, penetrating acidity and good balance",Green Mountain Coffee,Guatemala Chimaltenango
1866a,Medium-Dark,44,9,89,The Americas,Guatemala," In the cup gentle yet sustained acidity, round balance and cherry-like fruit and chocolate notes, with the cherry becoming particularly explicit as the cup cools",Cup to Cup Coffee Roasters,Guatemala Huehuetenango
1867a,Medium-Dark,43,9.38,90,The Americas,Guatemala," Sweetly and gently acidy, lightly syrupy mouthfeel",Jones Coffee,Chuck Roast Guatemala SHB
1868a,Medium-Light,67,29.95,93,The Americas,Guatemala," Cocoa powder, cherry, fir, hazelnut, cinnamon in aroma and cup",RamsHead Coffee Roasters,Guatemala Acetenango Gesha Lot 2
1869a,Medium-Light,67,39.87,93,The Americas,Guatemala," Freesia, apricot, pistachio, maple syrup, cedar in aroma and cup",Sunny's Coffee,Guatemala Acatenango
1870a,Medium-Light,68,18,93,The Americas,Guatemala," Baking chocolate, honeysuckle, date, almond butter, cedar in aroma and cup",Big Shoulders Coffee,Guatemala Bella Carmona
1871a,Medium-Light,64,13,94,The Americas,Guatemala," Cherry, orange zest, cocoa nib, cedar, agave syrup in aroma and cup",El Gran Café ,Finca Santa Isabel
1872a,Medium-Light,64,13,94,The Americas,Guatemala," Apricot, star jasmine, cocoa nib, cashew, oak in aroma and cup",El Gran Café,Finca San Carlos
1873a,Medium-Light,66,16.5,93,The Americas,Guatemala," Wisteria, apricot, pistachio, molasses, oak in aroma and cup",El Gran Café,Finca El Pintado
1874a,Medium-Light,63,16.5,90,The Americas,Guatemala," Plum, cocoa nib, almond, violet, elm in aroma and cup",El Gran Café,La Esperanza Borbón
1875a,Medium-Light,61,10,89,The Americas,Guatemala," Cocoa nib, almond, red grape, cedar, a hint of magnolia in aroma and cup",El Gran Café,The Aurora Project
1876a,Medium-Light,66,17.99,93,The Americas,Guatemala," Dark chocolate, date, pralines, tiger lily, a hint of cumin in aroma and cup",Kaldi's Coffee,Guatemala Carlos Rivas
1877a,Medium-Light,61,18.25,92,The Americas,Guatemala," Dark chocolate, date, hazelnut, agave syrup, pink grapefruit zest in aroma and cup",Highwire Coffee Roasters,Guatemala Bella Carmona
1878a,Medium-Light,68,21,93,The Americas,Guatemala," Meyer lemon zest, dark chocolate, tamarind, sandalwood, aromatic orchid in aroma and cup",Corvus Coffee,Guatemala El Plan Rosma
1879a,Medium-Light,63,21.1,93,The Americas,Guatemala," Pineapple, violet candy, almond brittle, cedar, brown sugar in aroma and cup",Atom Coffee Roasters,Guatemala Bella Carmona
1880a,Medium-Light,61,10.23,93,The Americas,Guatemala," Black cherry, almond, cedar, baker’s chocolate, magnolia in aroma and small cup",Kakalove Cafe,Guatemala Washed El General Lot SummerEnd 2020
1881a,Medium-Light,66,19,94,The Americas,Guatemala," Dark chocolate, nectarine, almond butter, freesia-like flowers, lemon thyme in aroma and cup",Conscious Cup Coffee Roasters,Guatemala Bella Carmona
1882a,Medium-Light,68,18,92,The Americas,Guatemala," Cocoa nib, tangerine zest, almond, freesia-like flowers, apricot in aroma and cup",States Coffee & Mercantile,Guatemala Guaya’B Coop
1883a,Medium-Light,65,17,93,The Americas,Guatemala," Baking chocolate, crisp pear, orange zest, oak, freesia-like flowers in aroma and cup",JBC Coffee Roasters,Bella Carmona Guatemala
1884a,Medium-Light,64,14,88,The Americas,Guatemala," Pecan, raisin, ripe banana, brown sugar, a sweet hint of narcissus in aroma and cup",Telluride Coffee Roasters,Guatemala Maravillas
1885a,Medium-Light,65,19,93,The Americas,Guatemala," Pomegranate, wisteria, maple syrup, pink grapefruit zest, cocoa nib in aroma and cup",Bird Rock Coffee Roasters,Guatemala Maragogype La Providencia
1886a,Medium-Light,62,115.09,92,The Americas,Guatemala," Narcissus, plum, cedar, cocoa nib, almond in aroma and cup",Black Coffee In Black Jar,Guatemala Acatenango Geisha
1887a,Medium-Light,66,21,92,The Americas,Guatemala," Hazelnut butter, magnolia-like flowers, crisp pear, cedar, agave syrup in aroma and cup",Big Shoulders Coffee,Guatemala La Folie
1888a,Medium-Light,68,16.95,90,The Americas,Guatemala," Apricot, fresh-cut fir, magnolia, hazelnut, cocoa powder in aroma and cup",Klatch Coffee,Guatemala Concepción Buena Vista
1889a,Medium-Light,64,16.9,90,The Americas,Guatemala," Cocoa powder, date, hazelnut, freesia, cedar in aroma and cup",JBC Coffee Roasters,Finca Santa Isabel Guatemala
1890a,Medium-Light,61,59.93,93,The Americas,Guatemala," Lime zest, magnolia, cedar, almond, maple syrup in aroma and cup",Paradise Roasters,Coffea Diversa Bourbon Rey Guatemala
1891a,Medium-Light,61,20.25,91,The Americas,Guatemala," Lemon verbena, green grape, nutmeg, fresh-cut fir, maple syrup in aroma and cup",Foggy Hills Coffee Company,Guatemala San Cristobal
1892a,Medium-Light,67,408.75,92,The Americas,Guatemala," Cashew butter, date, baker’s chocolate, magnolia, oak in aroma and cup",Kakalove Cafe,Guatemala Washed Finca El General Pache
1893a,Medium-Light,64,19,92,The Americas,Guatemala," Date, grapefruit zest, hazelnut, cedar, freesia-like flowers in aroma and cup",Temple Coffee Roasters,Guatemala Los Santos
1894a,Medium-Light,63,15.9,93,The Americas,Guatemala," Brown sugar, hop flowers, toasted coconut, chestnut, sumac in aroma and cup",JBC Coffee Roasters,Bella Carmona Guatemala
1895a,Medium-Light,66,16.5,92,The Americas,Guatemala," Mandarin orange, candied violet, hazelnut, baker’s chocolate, fresh-cut fir in aroma and cup",Revel Coffee,Guatemala Quejina
1896a,Medium-Light,61,15,91,The Americas,Guatemala," Cocoa powder, cinnamon, oak, lily, lemongrass in aroma and cup",Red Rock Roasters,Select Reserve Guatemala El Aceituno “El Bonito” Microlot
1897a,Medium-Light,63,17.5,93,The Americas,Guatemala," Apricot, baker’s chocolate, honeysuckle, oak, agave syrup in aroma and cup",Temple Coffee and Tea,Guatemala Hunapu
1898a,Medium-Light,65,17,90,The Americas,Guatemala," Hazelnut butter, baker’s chocolate, cherry, cedar, freesia-like flowers in aroma and cup",Lexington Coffee Roasters,Quejina Guatemala
1899a,Medium-Light,67,72.18,95,The Americas,Guatemala," Peach, fine musk, toffee, macadamia nut, roasted cacao nib in aroma and cup",Fumi Coffee,Guatemala Pacamara Natural
1900a,Medium-Light,67,21,94,The Americas,Guatemala," Wisteria, hop flowers, candied grapefruit zest, black cherry, pistachio butter in aroma and cup",Bird Rock Coffee Roasters,La Providencia Guatemala Maragogype
1901a,Medium-Light,65,18,93,The Americas,Guatemala," Salted caramel, black cherry, cinnamon, roasted cashew, clover flower in aroma and cup",Augie's Coffee Roasters,Finca Insul Guatemala Pacamara
1902a,Medium-Light,67,18.95,93,The Americas,Guatemala," Butterscotch, sandalwood, dark chocolate, dried apricot, lantana in aroma and cup",Barrington Coffee Roasting,Cuxinales Guatemala
1903a,Medium-Light,62,15,92,The Americas,Guatemala," Magnolia, dried persimmon, hazelnut, molasses, cedar in aroma and cup",Magnolia Coffee,Guatemala Finca San Gerardo
1904a,Medium-Light,62,17.5,92,The Americas,Guatemala," Honeysuckle, almond, bing cherry, baker’s chocolate, oak in aroma and cup",Temple Coffee and Tea,Guatemala Octavio Lopez
1905a,Medium-Light,66,15,92,The Americas,Guatemala," Almond brittle, lilac, black cherry, fresh-cut fir, agave syrup in aroma and cup",Big Creek Coffee Roasters,Guatemala Huehuetenango La Garita
1906a,Medium-Light,63,13.78,94,The Americas,Guatemala," Plumeria, baker’s chocolate, tangerine zest, fresh-cut cedar, tamarind in aroma and small cup",Kakalove Cafe,Guatemala Finca El General Lot ALT8 Espresso
1907a,Medium-Light,65,22.5,95,The Americas,Guatemala," Frankincense, almond nougat, honeysuckle, dried black cherry, roasted cacao nib in aroma and cup",PT's Coffee Roasting Co.,Finca El Socorro Maracaturra
1908a,Medium-Light,61,11.95,93,The Americas,Guatemala," Honeysuckle, pistachio, baking spices, apricot, molasses in aroma and cup",Paradise Roasters,Organic Dulce de Guatemala
1909a,Medium-Light,63,20,92,The Americas,Guatemala," Roasted cacao nib, lemon verbena, almond brittle, date, freesia-like flowers in aroma and cup",Soul Work Coffee,Guatemala Finca El Limonar Hugo Chavez Mendez
1910a,Medium-Light,65,18,93,The Americas,Guatemala," Honey, peach, ripe lime zest, black tea, a hint of parsley in aroma and cup",States Coffee & Mercantile,Guatemala Finca Las Terrazas
1911a,Medium-Light,64,15.75,94,The Americas,Guatemala," Cocoa, peach, fresh-cut fir, brown sugar, a hint of lush, lily-like flowers in aroma and cup",Durango Coffee Company,Guatemala Retiro Natural Process
1912a,Medium-Light,69,76.5,94,The Americas,Guatemala," Dried coconut, frankincense, baker’s chocolate, tea rose, tamarind in aroma and cup",Bird Rock Coffee Roasters,Guatemala Finca El Injerto Gesha
1913a,Medium-Light,67,15.75,93,The Americas,Guatemala," Jasmine, pomegranate, nutella, marjoram, frankincense in aroma and cup",JBC Coffee Roasters,Guaya’b Guatemala
1914a,Medium-Light,66,14.14,94,The Americas,Guatemala," Raspberry jam, almond, dark chocolate, narcissus, sandalwood in aroma and small cup",Kakalove Cafe,Guatemala Finca El General Espresso
1915a,Medium-Light,68,44.99,93,The Americas,Guatemala," Lime zest, baker’s chocolate, ripe pear, floral-toned vanilla, myrrh in aroma and cup",Ironclad Coffee Roasters,Guatemala Acatenango Gesha
1916a,Medium-Light,64,65,93,The Americas,Guatemala," Roasted cashew, sweet apple, clover flowers, brown sugar, fresh-cut cedar in aroma and cup",Willoughby's Coffee & Tea,Guatemala El Injerto Legendary Gesha
1917a,Medium-Light,67,16.95,93,The Americas,Guatemala," Grapefruit zest, brown sugar, hazelnut, rhododendron-like flowers, a hint of musk in aroma and cup",JBC Coffee Roasters,Bella Carmona Guatemala
1918a,Medium-Light,62,11.35,95,The Americas,Guatemala," Wisteria-like flowers, ripe passion fruit, dark chocolate, blood orange zest, frankincense in aroma and small cup",Kakalove Cafe,Guatemala Finca Cappuccino “Echo-Lot” Espresso
1919a,Medium-Light,66,15,92,The Americas,Guatemala," Baker’s chocolate, Graham cracker, dried cranberry, orange blossom, fresh-cut cedar in aroma and cup",Greater Goods Coffee Roasters,Life Saver Guatemala Organic Finca La Colina
1920a,Medium-Light,70,16,93,The Americas,Guatemala," Driven by sweet ripe citrus—co-taster John DiRuocco (92) associated it with orange, Jen Apodaca (93) with tangerine, Ken (93) with sweet grapefruit—and intriguing floral/herbal notes: Jen wild fennel, Ken lavender",Good Folks Coffee,Guatemala Waykan
1921a,Medium-Light,70,16,92,The Americas,Guatemala," All three reviewers were impressed by the clean, sweet balance of this espresso, delivering almost identical scores: John DiRuocco 92, Jen Apodaca 93, Ken 92",Noble Coffee Roasting,Guatemala Palo Blanco
1922a,Medium-Light,64,14.75,91,The Americas,Guatemala, Jen Apodaca’s (92) descriptors overlapped Ken’s,Durango Coffee Company,Guatemala La Merced
1923a,Medium-Light,66,13.5,93,The Americas,Guatemala," Violet, baker’s chocolate, blackcurrant, fresh-cut oak, almond in aroma and cup",Lexington Coffee Roasters,Waykan Guatemala
1924a,Medium-Light,71,14.75,90,The Americas,Guatemala," Candied walnut, oak, myrrh, cranberry, a hint of dark chocolate in aroma and cup",Mojo Coffee Roasters,Guatemala San Antonio El Bosque
1925a,Medium-Light,68,17.95,94,The Americas,Guatemala," Jasmine, date, pistachio, blood orange zest, coconut in aroma and cup",Barrington Coffee Roasting Co.,Cachajinas Guatemala Huehuetenango
1926a,Medium-Light,69,18,90,The Americas,Guatemala," Raw cashew, black peppercorn, lemon zest, dried peach, faint wisteria in aroma and cup",Stumptown Coffee Roasters,Guatemala Bella Vista
1927a,Medium-Light,69,17.45,92,The Americas,Guatemala," Honeysuckle, baker’s chocolate, papaya, roasted cacao nib, caramel in aroma and cup",Barrington Coffee Roasting Co.,Vista Al Bosque Guatemala
1928a,Medium-Light,64,12.99,92,The Americas,Guatemala," Green apple and grape, sandalwood, roasted cacao nib, a hint of myrrh in aroma and cup",Allegro Coffee Roasters,Organic Guatemala Asuvim Micro Lot
1929a,Medium-Light,71,14.44,93,The Americas,Guatemala," Red currant, lily, cocoa nib, oak in aroma and cup",Kakalove Cafe,Guatemala Plan del Guayabo Estate SL28 Winey
1930a,Medium-Light,69,19.73,95,The Americas,Guatemala," Lychee, almond, vanilla and complex florals in aroma and cup",Turning Point Coffee,Guatemala San Sebastian Natural
1931a,Medium-Light,62,14.15,90,The Americas,Guatemala," Cedar, turbinado sugar, hazelnut, myrrh, gardenia in aroma and cup",Ghost Town Coffee Roasters,Guatemala CODECH Women Producers
1932a,Medium-Light,69,23.35,93,The Americas,Guatemala," Flowers (lilac, lavender), tangerine zest, honeydew melon, roasted cacao nib in aroma and cup",Bartok Coffee,Guatemala Huehuetenango El Rincon
1933a,Medium-Light,71,23.99,92,The Americas,Guatemala," Orange zest, almond butter, sweet, honeysuckle-like flowers, a hint of rosemary in aroma and cup",Bird Rock Coffee Roasters,Guatemala El Socorro Maracaturra
1934a,Medium-Light,66,18,92,The Americas,Guatemala," Hazelnut, honeysuckle, plum, a hint of fresh-cut cedar in aroma and cup",Dragonfly Coffee Roasters,Guatemala Buena Esperanza Lot A
1935a,Medium-Light,63,74.93,92,The Americas,Guatemala," Almond, cedar, brown sugar, ripe orange, complex flowers (gardenia, lavender, rose) in aroma and cup",Equator Coffees & Teas,Guatemala El Injerto Pandora del Carmen Auction-Lot
1936a,Medium-Light,70,15.95,92,The Americas,Guatemala," Roasted cacao-nib, orange, apricot, freesia-like flowers, a faint whiff of whisky in aroma and cup",Wonderstate Coffee,Organic Guatemala Rio Azul
1937a,Medium-Light,64,13.5,92,The Americas,Guatemala," Almond, mulberry, baker’s chocolate, cedar, a hint of wisteria-like flowers in aroma and cup",Greater Goods Coffee Roasters,Life Saver Guatemala Organic Finca Santa Rita
1938a,Medium-Light,66,13.95,91,The Americas,Guatemala," Tobacco-toned cedar (think cigar humidor), vanilla, raw sugar, narcissus-like flowers in aroma and cup",Lexington Coffee Roasters,Waykan Guatemala
1939a,Medium-Light,66,14.75,92,The Americas,Guatemala," Hazelnut, oak, dark chocolate, wisteria-like flowers in aroma and cup",BeanFruit Coffee Co.,Guatemala Waykan
1940a,Medium-Light,63,14.99,92,The Americas,Guatemala," Raisiny dark chocolate, ripe plum, a shimmer of lantana-like flowers in aroma and cup",Shearwater Organic Coffee Roasters,Guatemala Finca Santa Isabel
1941a,Medium-Light,68,18,93,The Americas,Guatemala," Red currant, chocolate fudge, narcissus, sandalwood in aroma and cup",Temple Coffee and Tea,Guatemala El Diamante
1942a,Medium-Light,67,102.86,94,The Americas,Guatemala," Honeydew melon, almond, spicy fresh-cut redwood, lush lily in aroma and cup",AHRIRE Roasting,Sweet Maria’s Acatenango Gesha
1943a,Medium-Light,66,40,93,The Americas,Guatemala," Honeycomb, wisteria-like flowers, peach, roasted cacao nib in aroma and cup",Ragamuffin Coffee Roasters,Guatemala Acatenango Gesha
1944a,Medium-Light,64,14,90,The Americas,Guatemala," Dark chocolate, molasses, oak, hints of thyme and lily in aroma and cup",BeanFruit Coffee Co.,Guatemala Jimenez Vasquez micro-lot
1945a,Medium-Light,69,22.78,93,The Americas,Guatemala," Roasted almond, peach, kumquat, spicy flowers in aroma and cup",PT's Coffee Roasting Co.,El Socorro Pacamara Guatemala
1946a,Medium-Light,65,14.95,92,The Americas,Guatemala," Brown sugar, dark chocolate, apricot and peach, fresh-cut cedar, plum blossom in aroma and cup",Equator Coffees & Teas,Guatemala Finca El Valle Antigua
1947a,Medium-Light,68,18,93,The Americas,Guatemala," Dark chocolate, black cherry, vanilla, floral peach in aroma and cup",Cafe Grumpy,Guatemala La Bolsa
1948a,Medium-Light,65,13.5,92,The Americas,Guatemala," Caramel, roasted cacao nib, fresh-cut oak, orangy citrus, musk in aroma and cup",Lexington Coffee Roasters,Guatemala ASDECAFE
1949a,Medium-Light,63,16.45,92,The Americas,Guatemala," Sweet dark chocolate, clove, prune, hints of grapefruit and musky night flowers in aroma and cup",Barrington Coffee Roasting Co.,El Diamante Huehuetenango Guatemala
1950a,Medium-Light,63,16.5,92,The Americas,Guatemala," Ripe citrus, anise, dark chocolate, fresh-cut cedar in aroma and small cup",Thirty-Thirty Coffee Co.,Big Papua Espresso
1951a,Medium-Light,63,16,92,The Americas,Guatemala," Fresh-cut oak, honey, dark chocolate, peach, lily-like flowers in aroma and cup",Water Avenue Coffee,Guatemala Finca Santa Isabel
1952a,Medium-Light,62,13.99,93,The Americas,Guatemala," Honey, night-blooming flowers, sweet chocolate, almond-like nut in aroma and cup, where a slight savory, peppery edge complicates the sweetness and carries into a drying but flavor-saturated finish",Tony's Coffees & Teas,Guatemala Finca Bourbon Organic
